,gender,program,submitted_on,age_on_program_start,years_work_experience,nationality,other_nationality,applicant_state
69,Male,Full-time MBA,2023-02-18,36,13,United Kingdom,,enrolled
70,Male,Full-time MBA,2020-09-16,25,1,India,,rejected
71,Male,Full-time MBA,2021-10-04,28,4,France,,declined_offer
72,Male,Full-time MBA,2022-08-17,29,5,India,,rejected
73,Male,Full-time MBA,2021-02-06,26,5,China,,rejected
74,Male,Full-time MBA,2022-12-12,27,5,Australia,,enrolled
75,Male,Full-time MBA,2022-11-29,29,3,United States,,declined_offer
76,Female,Full-time MBA,2023-05-12,28,7,Ukraine,Viet Nam,enrolled
77,Male,Full-time MBA,2021-03-29,31,6,Mexico,,enrolled
78,Male,Full-time MBA,2023-03-03,37,17,Korea,,enrolled
79,Male,Full-time MBA,2021-06-28,42,16,United States,Netherlands,declined_offer
80,Female,Full-time MBA,2024-01-17,35,8,Peru,Ukraine,enrolled
81,Male,Full-time MBA,2020-10-04,34,13,United States,,declined_offer
82,Male,Full-time MBA,2020-11-22,31,3,India,,rejected
83,Male,Full-time MBA,2020-11-12,26,3,India,,rejected
84,Female,Full-time MBA,2023-07-31,35,12,India,,declined_offer
85,Male,Full-time MBA,2022-12-02,33,10,Georgia,Kenya,rejected
86,Female,Full-time MBA,2024-03-30,30,10,Italy,,enrolled
87,Female,Full-time MBA,2022-01-01,30,7,United States,Rwanda,enrolled
88,Female,Full-time MBA,2022-02-01,32,7,India,,declined_offer
89,Male,Full-time MBA,2022-08-28,36,12,Kenya,,rejected
90,Male,Full-time MBA,2022-10-06,33,10,India,,rejected
91,Female,Full-time MBA,2023-01-08,30,3,Germany,,enrolled
92,Female,Full-time MBA,2022-11-01,29,5,China,,enrolled
93,Male,Full-time MBA,2022-02-24,31,3,United Kingdom,,declined_offer
94,Female,Full-time MBA,2023-09-21,34,12,United Kingdom,,withdrawn
95,Male,Full-time MBA,2023-09-24,22,2,India,Jordan,withdrawn
96,Female,Full-time MBA,2021-11-26,33,7,Iran,,rejected
97,Male,Full-time MBA,2023-05-22,25,3,United States,France,enrolled
98,Male,Full-time MBA,2021-03-02,37,15,India,,declined_offer
99,Male,Full-time MBA,2024-03-03,28,2,India,,rejected
100,Female,Full-time MBA,2022-09-03,26,3,United States,,declined_offer
101,Male,Full-time MBA,2023-01-18,37,10,India,,rejected
102,Female,Full-time MBA,2022-02-23,32,8,India,,rejected
103,Female,Full-time MBA,2022-10-25,28,5,Peru,,declined_offer
104,Male,Full-time MBA,2021-09-24,27,5,India,,rejected
105,Female,Full-time MBA,2021-04-16,25,3,Kenya,,enrolled
106,Male,Full-time MBA,2023-04-21,25,3,Ukraine,,rejected
107,Male,Full-time MBA,2021-05-07,32,9,India,,rejected
108,Female,Full-time MBA,2022-06-15,30,4,Russian Federation,,rejected
109,Male,Full-time MBA,2023-05-23,26,3,India,Belarus,rejected
110,Male,Full-time MBA,2021-10-06,33,11,Germany,Morocco,declined_offer
111,Male,Full-time MBA,2021-08-25,32,8,India,,declined_offer
112,Male,Full-time MBA,2023-06-05,31,5,Canada,,declined_offer
113,Male,Full-time MBA,2023-02-26,27,4,India,,rejected
114,Female,Full-time MBA,2023-08-03,28,8,India,,rejected
115,Female,Full-time MBA,2024-01-18,35,11,China,,withdrawn
116,Male,Full-time MBA,2020-11-05,32,12,India,,rejected
117,Male,Full-time MBA,2021-09-02,31,7,Russian Federation,,rejected
118,Female,Full-time MBA,2024-01-30,36,12,India,,rejected
119,Female,Full-time MBA,2023-06-02,36,11,India,,rejected
120,Male,Full-time MBA,2021-08-12,26,6,Canada,,withdrawn
121,Female,Full-time MBA,2021-04-22,30,9,China,,withdrawn
122,Male,Full-time MBA,2020-12-08,28,3,United Kingdom,,declined_offer
123,Male,Full-time MBA,2023-09-29,29,8,China,,declined_offer
124,Male,Full-time MBA,2022-09-30,41,12,Taiwan,,declined_offer
125,Male,Full-time MBA,2022-03-11,38,17,India,,declined_offer
126,Male,Full-time MBA,2022-02-03,32,8,India,,rejected
127,Female,Full-time MBA,2022-03-16,33,13,Brazil,,enrolled
128,Female,Full-time MBA,2022-03-08,34,12,United States,,enrolled
129,Female,Full-time MBA,2020-10-12,30,6,India,,rejected
130,Male,Full-time MBA,2021-01-23,32,8,Germany,,enrolled
131,Male,Full-time MBA,2020-12-01,27,4,Hungary,,rejected
132,Male,Full-time MBA,2021-01-10,27,7,China,Nigeria,enrolled
133,Female,Full-time MBA,2022-04-28,36,16,Turkey,,withdrawn
134,Male,Full-time MBA,2024-03-08,35,14,Georgia,,rejected
135,Male,Full-time MBA,2021-04-28,36,14,India,,rejected
136,Male,Full-time MBA,2020-10-08,34,14,India,,withdrawn
137,Female,Full-time MBA,2023-10-03,29,2,India,,rejected
138,Male,Full-time MBA,2021-10-30,30,6,Philippines,,rejected
139,Male,Full-time MBA,2024-01-04,37,17,India,,rejected
140,Male,Full-time MBA,2022-08-10,30,6,Brazil,,rejected
141,Male,Full-time MBA,2023-11-16,35,12,India,,rejected
142,Female,Full-time MBA,2020-10-30,31,7,India,,declined_offer
143,Male,Full-time MBA,2023-07-02,27,6,India,,on_hold
144,Female,Full-time MBA,2021-06-13,29,2,Mexico,,rejected
145,Male,Full-time MBA,2021-02-13,30,10,India,,rejected
146,Male,Full-time MBA,2023-09-21,29,7,India,,declined_offer
147,Male,Full-time MBA,2023-02-14,32,11,India,,rejected
148,Male,Full-time MBA,2022-06-27,31,4,Kenya,,withdrawn
149,Female,Full-time MBA,2022-11-03,28,3,Egypt,,enrolled
150,Male,Full-time MBA,2023-09-04,32,6,Canada,,rejected
151,Male,Full-time MBA,2023-06-09,36,10,Pakistan,,withdrawn
152,Male,Full-time MBA,2022-12-10,36,13,India,,rejected
153,Male,Full-time MBA,2020-11-02,34,13,India,,rejected
154,Male,Full-time MBA,2021-01-08,25,3,India,,enrolled
155,Female,Full-time MBA,2023-04-19,31,8,India,,withdrawn
156,Male,Full-time MBA,2021-06-22,30,6,United States,,declined_offer
157,Male,Full-time MBA,2023-11-18,29,7,China,,on_hold
158,Male,Full-time MBA,2021-11-04,25,3,India,,rejected
159,Male,Full-time MBA,2021-11-27,32,4,Canada,,rejected
160,Male,Full-time MBA,2021-05-08,33,10,Germany,,rejected
161,Male,Full-time MBA,2020-09-30,27,4,India,,rejected
162,Male,Full-time MBA,2021-06-09,27,7,Germany,,declined_offer
163,Male,Full-time MBA,2021-01-11,35,11,Russian Federation,Netherlands,declined_offer
164,Female,Full-time MBA,2020-11-21,31,7,India,,enrolled
165,Male,Full-time MBA,2020-11-14,33,9,India,,declined_offer
166,Female,Full-time MBA,2021-03-15,33,7,United States,,enrolled
167,Male,Full-time MBA,2022-01-29,26,5,China,Hungary,enrolled
168,Male,Full-time MBA,2021-06-27,31,7,India,,rejected
169,Female,Full-time MBA,2021-08-20,26,4,India,,enrolled
170,Male,Full-time MBA,2023-10-21,29,8,Jordan,,enrolled
171,Female,Full-time MBA,2021-12-20,28,5,China,,enrolled
172,Male,Full-time MBA,2022-03-30,38,11,India,,rejected
173,Male,Full-time MBA,2023-04-18,28,5,India,,rejected
174,Male,Full-time MBA,2024-01-16,33,5,India,,withdrawn
175,Male,Full-time MBA,2021-05-01,26,2,India,,rejected
176,Male,Full-time MBA,2023-05-04,36,9,Mexico,,rejected
177,Male,Full-time MBA,2022-10-15,34,12,India,,declined_offer
178,Male,Full-time MBA,2021-05-10,30,6,India,,rejected
179,Female,Full-time MBA,2024-02-21,27,3,India,Belarus,declined_offer
180,Male,Full-time MBA,2024-01-15,30,4,Lebanon,,enrolled
181,Male,Full-time MBA,2022-10-13,26,1,India,,on_hold
182,Male,Full-time MBA,2023-01-29,31,4,India,,enrolled
183,Male,Full-time MBA,2023-03-14,31,10,China,India,rejected
184,Male,Full-time MBA,2021-07-25,28,3,United States,,declined_offer
185,Female,Full-time MBA,2022-12-11,26,2,Philippines,,declined_offer
186,Male,Full-time MBA,2023-12-09,30,7,India,,on_hold
187,Male,Full-time MBA,2022-04-29,27,3,India,,on_hold
188,Male,Full-time MBA,2024-01-03,39,12,India,,on_hold
189,Male,Full-time MBA,2022-09-10,25,3,Peru,,enrolled
190,Female,Full-time MBA,2021-09-15,37,12,India,Ghana,rejected
191,Female,Full-time MBA,2022-05-04,25,4,Egypt,,rejected
192,Female,Full-time MBA,2022-03-27,45,16,China,,enrolled
193,Male,Full-time MBA,2021-08-13,33,9,China,,enrolled
194,Male,Full-time MBA,2022-06-16,32,8,United Kingdom,,enrolled
195,Male,Full-time MBA,2024-02-28,28,5,Hungary,,enrolled
196,Female,Full-time MBA,2023-06-29,29,5,Turkey,,deferred
197,Male,Full-time MBA,2022-03-13,26,5,China,,enrolled
198,Male,Full-time MBA,2023-01-04,29,7,Germany,,on_hold
199,Male,Full-time MBA,2022-09-06,23,3,United States,,deferred
200,Female,Full-time MBA,2021-05-07,40,16,India,,withdrawn
201,Male,Full-time MBA,2023-01-19,28,8,China,,rejected
202,Male,Full-time MBA,2022-06-07,26,4,United Kingdom,,enrolled
203,Male,Full-time MBA,2021-03-28,30,7,Georgia,,enrolled
204,Male,Full-time MBA,2021-11-04,35,14,China,,declined_offer
205,Male,Full-time MBA,2020-11-23,28,5,India,,rejected
206,Female,Full-time MBA,2022-11-06,34,11,India,,enrolled
207,Female,Full-time MBA,2021-11-07,32,8,India,,rejected
208,Male,Full-time MBA,2022-09-17,27,2,India,,declined_offer
209,Male,Full-time MBA,2021-04-27,31,6,China,,enrolled
210,Female,Full-time MBA,2023-02-11,36,12,Germany,,enrolled
211,Female,Full-time MBA,2020-09-19,32,9,Korea,,declined_offer
212,Male,Full-time MBA,2023-04-27,33,12,Iran,,enrolled
213,Male,Full-time MBA,2022-08-28,25,4,United States,,rejected
214,Male,Full-time MBA,2022-12-16,28,7,United States,,rejected
215,Male,Full-time MBA,2021-04-26,29,4,Germany,,enrolled
216,Male,Full-time MBA,2021-03-10,31,9,United States,,enrolled
217,Female,Full-time MBA,2021-07-05,32,6,China,,deferred
218,Female,Full-time MBA,2020-09-15,30,3,Iran,,withdrawn
219,Female,Full-time MBA,2022-11-23,29,2,India,,rejected
220,Male,Full-time MBA,2023-10-29,29,5,India,,enrolled
221,Female,Full-time MBA,2021-06-29,32,7,India,,withdrawn
222,Male,Full-time MBA,2021-12-07,27,5,Turkey,,rejected
223,Male,Full-time MBA,2021-09-27,27,6,United States,,withdrawn
224,Male,Full-time MBA,2022-03-18,29,6,Nigeria,,deferred
225,Male,Full-time MBA,2021-12-24,30,6,Nigeria,Turkey,deferred
226,Female,Full-time MBA,2022-02-13,26,4,China,,declined_offer
227,Male,Full-time MBA,2022-11-21,27,5,India,,on_hold
228,Male,Full-time MBA,2022-04-24,23,3,Nigeria,,enrolled
229,Male,Full-time MBA,2020-12-29,28,6,India,,on_hold
230,Male,Full-time MBA,2021-10-07,30,7,India,Canada,withdrawn
231,Female,Full-time MBA,2021-05-05,31,5,India,,rejected
232,Male,Full-time MBA,2021-07-13,32,8,India,,declined_offer
233,Female,Full-time MBA,2022-12-20,26,2,United Kingdom,,rejected
234,Male,Full-time MBA,2021-05-30,32,6,India,,rejected
235,Male,Full-time MBA,2021-03-22,26,4,United States,,enrolled
236,Male,Full-time MBA,2022-09-24,27,4,India,,rejected
237,Male,Full-time MBA,2021-03-12,32,8,Mexico,,declined_offer
238,Male,Full-time MBA,2021-11-05,36,7,China,,declined_offer
239,Female,Full-time MBA,2021-07-17,35,12,India,,enrolled
240,Male,Full-time MBA,2022-12-22,32,12,India,Nigeria,rejected
241,Male,Full-time MBA,2022-12-28,29,6,India,,declined_offer
242,Female,Full-time MBA,2022-09-11,33,7,Italy,,enrolled
243,Male,Full-time MBA,2023-10-10,40,12,Georgia,,enrolled
244,Male,Full-time MBA,2022-12-24,30,5,Mexico,,declined_offer
245,Male,Full-time MBA,2022-08-05,31,4,India,,withdrawn
246,Female,Full-time MBA,2022-08-14,34,12,Germany,,enrolled
247,Male,Full-time MBA,2022-01-13,41,19,Germany,,enrolled
248,Male,Full-time MBA,2023-11-24,29,8,India,,withdrawn
249,Male,Full-time MBA,2021-07-18,29,6,Brazil,,declined_offer
250,Female,Full-time MBA,2021-06-07,37,12,China,,enrolled
251,Male,Full-time MBA,2022-01-27,32,10,China,,enrolled
252,Male,Full-time MBA,2023-07-02,26,3,United States,,rejected
253,Male,Full-time MBA,2022-08-31,30,6,United States,,rejected
254,Female,Full-time MBA,2022-06-03,34,8,United States,,declined_offer
255,Female,Full-time MBA,2021-12-13,26,1,India,Finland,withdrawn
256,Male,Full-time MBA,2023-12-03,33,8,Hungary,,rejected
257,Male,Full-time MBA,2021-05-14,43,15,India,,declined_offer
258,Female,Full-time MBA,2023-09-10,34,8,Kenya,,enrolled
259,Male,Full-time MBA,2024-01-17,33,11,China,,on_hold
260,Female,Full-time MBA,2021-08-18,28,5,India,,declined_offer
261,Male,Full-time MBA,2020-11-01,31,3,Canada,San Marino,withdrawn
262,Female,Full-time MBA,2021-03-06,25,3,Germany,,declined_offer
263,Female,Full-time MBA,2022-09-12,26,5,China,Portugal,enrolled
264,Female,Full-time MBA,2024-02-07,27,4,Nigeria,,rejected
265,Male,Full-time MBA,2020-11-01,30,9,India,Taiwan,deferred
266,Female,Full-time MBA,2021-10-09,33,11,Nigeria,,declined_offer
267,Female,Full-time MBA,2022-03-27,34,12,India,,enrolled
268,Male,Full-time MBA,2021-01-25,30,7,Russian Federation,,withdrawn
269,Male,Full-time MBA,2021-05-30,30,7,India,,enrolled
270,Female,Full-time MBA,2022-01-28,30,8,China,,declined_offer
271,Male,Full-time MBA,2022-05-10,33,13,Peru,,rejected
272,Male,Full-time MBA,2022-12-18,45,15,India,,rejected
273,Male,Full-time MBA,2022-09-14,25,1,India,,rejected
274,Male,Full-time MBA,2022-08-09,29,7,Mexico,,declined_offer
275,Female,Full-time MBA,2022-02-24,27,5,Taiwan,,enrolled
276,Female,Full-time MBA,2022-12-18,31,8,India,Italy,declined_offer
277,Male,Full-time MBA,2023-03-20,27,5,India,,rejected
278,Female,Full-time MBA,2021-05-31,27,6,Mexico,,withdrawn
279,Male,Full-time MBA,2021-07-16,32,11,Nigeria,,withdrawn
280,Female,Full-time MBA,2023-08-07,27,5,Mexico,,declined_offer
281,Male,Full-time MBA,2021-01-19,38,16,United States,,rejected
282,Male,Full-time MBA,2021-01-13,36,10,India,,withdrawn
283,Male,Full-time MBA,2023-05-01,29,7,Turkey,,withdrawn
284,Female,Full-time MBA,2023-02-17,26,3,India,,enrolled
285,Male,Full-time MBA,2022-02-01,25,3,Italy,,declined_offer
286,Female,Full-time MBA,2023-08-26,32,11,China,,rejected
287,Male,Full-time MBA,2021-07-11,32,5,Ireland,,enrolled
288,Female,Full-time MBA,2021-11-16,28,4,Chile,,enrolled
289,Male,Full-time MBA,2021-03-14,29,7,India,,rejected
290,Female,Full-time MBA,2023-07-21,26,2,India,,withdrawn
291,Male,Full-time MBA,2021-04-21,32,8,China,Canada,deferred
292,Female,Full-time MBA,2022-08-09,35,12,India,,enrolled
293,Male,Full-time MBA,2021-06-04,40,18,India,,enrolled
294,Male,Full-time MBA,2024-03-17,28,5,India,,rejected
295,Male,Full-time MBA,2021-03-31,27,5,India,,enrolled
296,Female,Full-time MBA,2022-03-20,37,17,Germany,Philippines,rejected
297,Male,Full-time MBA,2021-11-18,36,14,India,,enrolled
298,Male,Full-time MBA,2022-03-12,32,8,United States,,deferred
299,Male,Full-time MBA,2020-12-20,30,9,India,,rejected
300,Male,Full-time MBA,2023-12-10,33,8,Taiwan,,enrolled
301,Female,Full-time MBA,2020-10-31,29,6,India,,rejected
302,Male,Full-time MBA,2022-06-28,33,11,Peru,,rejected
303,Female,Full-time MBA,2022-05-24,28,4,India,,declined_offer
304,Female,Full-time MBA,2021-07-17,29,4,Germany,,enrolled
305,Female,Full-time MBA,2022-01-21,34,7,Nigeria,,enrolled
306,Male,Full-time MBA,2021-03-19,31,4,India,Canada,rejected
307,Female,Full-time MBA,2022-12-19,36,12,China,,enrolled
308,Male,Full-time MBA,2024-01-11,36,8,United States,,enrolled
309,Male,Full-time MBA,2022-12-08,28,5,India,,on_hold
310,Male,Full-time MBA,2023-02-20,30,6,India,Netherlands,deferred
311,Male,Full-time MBA,2021-04-02,29,8,India,,rejected
312,Female,Full-time MBA,2020-11-07,29,4,Nigeria,,declined_offer
313,Female,Full-time MBA,2021-08-01,32,8,Pakistan,,deferred
314,Female,Full-time MBA,2021-12-11,28,6,Mexico,,declined_offer
315,Male,Full-time MBA,2023-08-07,29,8,India,,rejected
316,Female,Full-time MBA,2023-11-20,28,5,Germany,Ireland,rejected
317,Female,Full-time MBA,2021-09-23,29,6,Georgia,,declined_offer
318,Female,Full-time MBA,2024-02-02,34,9,China,,declined_offer
319,Male,Full-time MBA,2022-10-31,32,9,India,Croatia,enrolled
320,Male,Full-time MBA,2022-07-26,28,8,India,,withdrawn
321,Male,Full-time MBA,2024-02-20,29,9,India,,rejected
322,Male,Full-time MBA,2023-01-16,28,4,India,,rejected
323,Male,Full-time MBA,2023-08-22,28,3,India,,enrolled
324,Male,Full-time MBA,2024-02-16,26,3,Korea,,withdrawn
325,Male,Full-time MBA,2022-12-22,33,11,India,,enrolled
326,Male,Full-time MBA,2024-03-26,26,4,India,,rejected
327,Female,Full-time MBA,2022-07-14,30,6,Taiwan,,rejected
328,Male,Full-time MBA,2024-02-18,23,1,India,,rejected
329,Male,Full-time MBA,2023-12-27,27,5,China,,enrolled
330,Female,Full-time MBA,2021-10-22,28,7,India,,rejected
331,Female,Full-time MBA,2022-03-27,30,6,India,,enrolled
332,Male,Full-time MBA,2021-04-12,30,8,Brazil,,rejected
333,Male,Full-time MBA,2022-02-05,23,3,Canada,,rejected
334,Male,Full-time MBA,2022-11-03,28,6,Canada,,rejected
335,Female,Full-time MBA,2021-10-14,31,5,India,,declined_offer
336,Female,Full-time MBA,2022-01-25,27,7,Nigeria,,rejected
337,Male,Full-time MBA,2022-05-11,27,4,India,,deferred
338,Male,Full-time MBA,2023-09-04,32,9,Korea,,enrolled
339,Male,Full-time MBA,2021-12-03,33,7,China,Spain,enrolled
340,Female,Full-time MBA,2021-08-03,25,3,Nigeria,,enrolled
341,Male,Full-time MBA,2024-03-28,32,7,China,,rejected
342,Male,Full-time MBA,2021-02-03,31,7,Peru,,enrolled
343,Female,Full-time MBA,2022-06-08,26,6,Korea,Poland,declined_offer
344,Male,Full-time MBA,2023-11-11,29,3,India,,rejected
345,Male,Full-time MBA,2022-05-31,31,11,India,,withdrawn
346,Female,Full-time MBA,2021-04-17,33,7,China,,rejected
347,Male,Full-time MBA,2021-02-15,33,13,Brazil,,enrolled
348,Female,Full-time MBA,2022-03-13,27,5,Korea,,rejected
349,Male,Full-time MBA,2021-08-21,40,11,United States,,deferred
350,Male,Full-time MBA,2022-01-03,26,4,Lebanon,,declined_offer
351,Female,Full-time MBA,2020-09-10,27,5,India,,rejected
352,Male,Full-time MBA,2022-05-22,26,5,Brazil,Venezuela,enrolled
353,Male,Full-time MBA,2020-10-04,37,17,Mexico,,rejected
354,Female,Full-time MBA,2023-04-26,33,7,China,,enrolled
355,Male,Full-time MBA,2021-10-16,32,8,China,,withdrawn
356,Male,Full-time MBA,2021-04-03,37,8,China,,withdrawn
357,Male,Full-time MBA,2023-08-10,28,8,India,,enrolled
358,Male,Full-time MBA,2021-04-13,27,4,India,,on_hold
359,Male,Full-time MBA,2021-12-31,27,5,China,,rejected
360,Male,Full-time MBA,2022-06-27,36,12,India,Mexico,withdrawn
361,Male,Full-time MBA,2022-02-08,26,4,United States,,deferred
362,Male,Full-time MBA,2021-04-20,28,8,India,,rejected
363,Male,Full-time MBA,2023-12-30,37,13,Pakistan,,rejected
364,Male,Full-time MBA,2021-08-01,31,9,Nigeria,,enrolled
365,Male,Full-time MBA,2022-09-01,31,11,Italy,,rejected
366,Female,Full-time MBA,2023-09-04,28,2,Hungary,,declined_offer
367,Female,Full-time MBA,2023-07-11,30,7,Nigeria,,withdrawn
368,Male,Full-time MBA,2022-09-16,34,12,Russian Federation,,declined_offer
369,Male,Full-time MBA,2022-05-27,30,8,Chile,United States,rejected
370,Male,Full-time MBA,2022-08-05,30,7,China,,declined_offer
371,Male,Full-time MBA,2021-11-28,29,6,India,,on_hold
372,Male,Full-time MBA,2020-09-14,29,3,India,,rejected
373,Male,Full-time MBA,2024-01-18,41,16,India,,enrolled
374,Female,Full-time MBA,2023-08-05,43,20,India,,declined_offer
375,Male,Full-time MBA,2022-01-11,37,9,India,,rejected
376,Female,Full-time MBA,2022-04-20,30,5,India,,rejected
377,Male,Full-time MBA,2020-10-18,33,6,China,,enrolled
378,Male,Full-time MBA,2023-10-25,35,11,Iran,,rejected
379,Male,Full-time MBA,2024-01-23,32,5,India,,rejected
380,Male,Full-time MBA,2023-10-15,27,1,India,,on_hold
381,Male,Full-time MBA,2021-08-03,30,5,India,,rejected
382,Male,Full-time MBA,2023-04-25,24,2,United States,,deferred
383,Male,Full-time MBA,2023-10-27,40,11,United States,,declined_offer
384,Female,Full-time MBA,2022-09-23,26,5,India,,withdrawn
385,Male,Full-time MBA,2022-10-23,37,8,India,,rejected
386,Male,Full-time MBA,2021-12-26,29,3,Germany,,enrolled
387,Female,Full-time MBA,2022-10-23,23,1,Hungary,,declined_offer
388,Male,Full-time MBA,2023-03-25,27,5,India,,rejected
389,Male,Full-time MBA,2022-12-02,25,3,India,,rejected
390,Male,Full-time MBA,2021-02-13,35,10,United States,,declined_offer
391,Male,Full-time MBA,2024-01-06,30,6,India,,rejected
392,Male,Full-time MBA,2021-08-11,35,14,Chile,,enrolled
393,Male,Full-time MBA,2021-10-30,29,9,Peru,,declined_offer
394,Male,Full-time MBA,2022-05-14,34,6,United Kingdom,,withdrawn
395,Male,Full-time MBA,2022-04-28,32,9,Georgia,,declined_offer
396,Male,Full-time MBA,2021-09-20,28,5,Germany,,declined_offer
397,Female,Full-time MBA,2021-01-12,36,14,Russian Federation,,enrolled
398,Female,Full-time MBA,2020-12-14,25,3,India,,declined_offer
399,Male,Full-time MBA,2023-08-24,33,12,China,,withdrawn
400,Male,Full-time MBA,2022-05-30,40,20,United States,,enrolled
401,Male,Full-time MBA,2021-03-28,28,6,India,Chile,rejected
402,Male,Full-time MBA,2021-08-04,33,13,Kenya,,rejected
403,Female,Full-time MBA,2021-03-10,31,8,India,,enrolled
404,Male,Full-time MBA,2020-10-26,32,12,China,,enrolled
405,Female,Full-time MBA,2021-06-27,27,5,Italy,,enrolled
406,Male,Full-time MBA,2023-03-31,27,3,India,,rejected
407,Male,Full-time MBA,2023-04-06,32,12,Georgia,,enrolled
408,Male,Full-time MBA,2023-07-23,36,13,United Kingdom,,declined_offer
409,Male,Full-time MBA,2022-12-21,28,5,Taiwan,,rejected
410,Male,Full-time MBA,2021-10-04,29,5,Germany,,declined_offer
411,Male,Full-time MBA,2021-08-05,32,8,Peru,Jordan,withdrawn
412,Male,Full-time MBA,2023-07-17,27,2,Chile,Netherlands,withdrawn
413,Male,Full-time MBA,2021-07-20,30,8,India,,rejected
