,gender,program,submitted_on,age_on_program_start,years_work_experience,nationality,other_nationality,applicant_state
82,Male,Part-time MBA,2021-04-27,35,16,Switzerland,,enrolled
83,Female,Online MBA,2022-07-29,49,19,India,,enrolled
84,Male,Executive MBA,2023-07-02,23,3,Germany,,deferred
85,Male,Online MBA,2023-04-17,31,12,Russian Federation,,enrolled
86,Female,Online MBA,2022-05-16,37,9,China,,enrolled
87,Female,Executive MBA,2021-01-27,36,14,Belarus,,enrolled
88,Male,Executive MBA,2020-12-01,44,20,China,San Marino,rejected
89,Female,Part-time MBA,2021-04-21,32,7,Spain,,enrolled
90,Female,Part-time MBA,2020-12-29,38,11,Viet Nam,,enrolled
91,Male,Online MBA,2021-01-12,41,12,Portugal,,enrolled
92,Male,Part-time MBA,2022-03-27,32,5,Russian Federation,,enrolled
93,Male,Part-time MBA,2023-12-02,36,13,Russian Federation,,declined_offer
94,Male,Executive MBA,2021-04-03,36,14,Greece,,enrolled
95,Male,Online MBA,2022-12-08,34,11,United Kingdom,,enrolled
96,Male,Online MBA,2021-08-11,33,11,Spain,,withdrawn
97,Male,Online MBA,2023-08-24,28,6,Algeria,,enrolled
98,Non-binary,Executive MBA,2021-01-22,40,13,Pakistan,,withdrawn
99,Male,Online MBA,2023-02-04,32,7,United States,Serbia,withdrawn
100,Male,Online MBA,2021-12-07,38,15,Philippines,,rejected
101,Male,Executive MBA,2020-10-13,40,20,Germany,,enrolled
102,Female,Part-time MBA,2024-01-02,32,4,China,,rejected
103,Female,Part-time MBA,2021-06-12,32,4,Germany,,enrolled
104,Female,Online MBA,2022-01-25,27,4,Germany,,on_hold
105,Male,Executive MBA,2023-07-23,42,19,China,,enrolled
106,Male,Executive MBA,2021-10-22,27,3,Russian Federation,Australia,enrolled
107,Male,Executive MBA,2021-02-05,39,20,Russian Federation,,rejected
108,Male,Online MBA,2024-03-05,41,14,Spain,,rejected
109,Male,Online MBA,2020-10-16,38,12,China,,enrolled
110,Female,Online MBA,2021-12-21,37,6,China,,rejected
111,Male,Online MBA,2022-08-06,37,6,China,,enrolled
112,Female,Part-time MBA,2024-02-01,28,5,Germany,,enrolled
113,Male,Online MBA,2022-11-07,33,14,Greece,,enrolled
114,Male,Online MBA,2023-03-12,49,15,India,,declined_offer
115,Male,Online MBA,2022-10-09,35,12,Germany,,rejected
116,Male,Executive MBA,2021-05-16,38,15,Russian Federation,,enrolled
117,Male,Part-time MBA,2021-05-22,31,6,Finland,,declined_offer
118,Male,Executive MBA,2023-07-17,39,12,Italy,,enrolled
119,Female,Online MBA,2023-06-11,31,12,Spain,,withdrawn
120,Male,Part-time MBA,2020-10-14,30,5,Romania,,enrolled
121,Male,Online MBA,2021-12-17,34,4,Russian Federation,,rejected
122,Male,Part-time MBA,2022-02-05,31,11,Germany,,enrolled
123,Male,Part-time MBA,2022-01-04,31,12,United States,,enrolled
124,Female,Online MBA,2023-03-14,30,10,China,,enrolled
125,Male,Executive MBA,2022-07-18,36,14,Serbia,,enrolled
126,Male,Online MBA,2023-04-06,40,19,Russian Federation,Norway,declined_offer
127,Male,Part-time MBA,2023-04-12,31,8,China,,enrolled
128,Male,Online MBA,2023-05-24,37,13,Pakistan,,enrolled
129,Female,Online MBA,2021-09-27,33,13,Taiwan,,withdrawn
130,Male,Executive MBA,2022-04-05,39,19,Czech Republic,,rejected
131,Female,Online MBA,2022-01-10,30,10,China,,declined_offer
132,Male,Online MBA,2021-09-27,38,14,Chile,,enrolled
133,Male,Part-time MBA,2024-02-10,30,2,Iran,,enrolled
134,Male,Part-time MBA,2021-11-17,24,3,United States,Hungary,enrolled
135,Male,Online MBA,2021-01-01,22,0,Poland,,rejected
136,Male,Online MBA,2023-01-23,38,19,India,,withdrawn
137,Female,Executive MBA,2022-10-03,38,14,India,,enrolled
138,Female,Online MBA,2022-12-13,38,15,Taiwan,,declined_offer
139,Female,Executive MBA,2024-01-03,41,13,China,,enrolled
140,Female,Executive MBA,2023-05-15,40,17,Pakistan,,enrolled
141,Male,Online MBA,2022-05-27,45,16,Germany,,enrolled
142,Male,Executive MBA,2022-10-03,37,18,China,Japan,rejected
143,Male,Online MBA,2022-11-22,35,13,Germany,,enrolled
144,Male,Part-time MBA,2022-08-07,28,6,China,,enrolled
145,Female,Online MBA,2024-03-02,32,12,India,,withdrawn
146,Male,Part-time MBA,2022-10-10,34,9,Russian Federation,,enrolled
147,Male,Online MBA,2024-02-15,33,12,India,,enrolled
148,Male,Online MBA,2021-05-17,27,3,Germany,,enrolled
149,Female,Part-time MBA,2021-06-30,34,12,India,,declined_offer
150,Male,Part-time MBA,2023-11-04,41,11,China,,on_hold
151,Female,Part-time MBA,2022-12-20,32,8,Mexico,,rejected
152,Female,Online MBA,2022-05-03,35,15,China,,enrolled
153,Male,Part-time MBA,2021-05-30,31,12,France,Colombia,enrolled
154,Male,Online MBA,2023-05-21,35,8,Ghana,,rejected
155,Male,Online MBA,2024-02-28,33,10,India,,enrolled
156,Female,Part-time MBA,2023-12-09,32,10,China,,enrolled
157,Female,Online MBA,2023-11-07,38,14,China,Switzerland,declined_offer
158,Female,Online MBA,2023-12-16,37,6,Morocco,,enrolled
159,Female,Part-time MBA,2021-07-13,32,8,Italy,,declined_offer
160,Male,Executive MBA,2023-08-05,36,7,Serbia,,withdrawn
161,Male,Online MBA,2023-04-27,40,16,Russian Federation,,declined_offer
162,Male,Online MBA,2022-08-06,38,14,Pakistan,,enrolled
163,Male,Online MBA,2024-03-18,32,4,Mexico,,rejected
164,Male,Executive MBA,2021-08-01,34,7,Russian Federation,,declined_offer
165,Female,Part-time MBA,2021-05-03,30,9,Germany,,declined_offer
166,Male,Part-time MBA,2021-05-27,27,4,Ghana,,enrolled
167,Female,Executive MBA,2020-12-14,38,11,Italy,,enrolled
168,Male,Online MBA,2023-08-01,31,2,India,,enrolled
169,Female,Online MBA,2023-12-31,37,15,China,,enrolled
170,Male,Online MBA,2023-06-15,37,8,China,,enrolled
171,Male,Part-time MBA,2021-03-20,35,7,Taiwan,,declined_offer
172,Male,Online MBA,2023-05-28,37,18,India,,enrolled
173,Male,Part-time MBA,2023-03-22,30,8,Ghana,,enrolled
174,Male,Executive MBA,2023-11-25,37,14,Spain,,enrolled
175,Male,Executive MBA,2022-11-23,49,17,Colombia,,deferred
176,Male,Online MBA,2023-10-07,26,4,Germany,,enrolled
177,Female,Executive MBA,2021-07-28,35,14,China,,enrolled
178,Male,Executive MBA,2021-10-11,43,16,Germany,,withdrawn
179,Male,Online MBA,2021-11-20,27,5,Germany,,declined_offer
180,Male,Online MBA,2023-06-04,34,13,Finland,,enrolled
181,Male,Executive MBA,2020-11-18,38,10,Germany,,enrolled
182,Male,Part-time MBA,2022-04-01,41,11,Russian Federation,,enrolled
183,Female,Online MBA,2023-01-20,49,20,Spain,,enrolled
184,Male,Online MBA,2023-02-10,35,14,Russian Federation,,rejected
185,Male,Part-time MBA,2021-12-01,24,2,Mexico,,enrolled
186,Female,Executive MBA,2023-07-23,42,19,Turkey,,enrolled
187,Female,Part-time MBA,2021-12-08,28,2,Spain,,enrolled
188,Male,Executive MBA,2021-04-23,24,3,Nigeria,,enrolled
189,Male,Part-time MBA,2021-06-16,28,3,Russian Federation,,enrolled
190,Female,Online MBA,2023-07-10,33,7,Tunisia,,deferred
191,Female,Online MBA,2021-06-04,28,5,Turkey,Russian Federation,enrolled
192,Female,Executive MBA,2021-12-02,44,20,Netherlands,,enrolled
193,Male,Part-time MBA,2021-10-18,34,10,Russian Federation,,rejected
194,Male,Online MBA,2023-11-15,36,15,Germany,,enrolled
195,Male,Online MBA,2021-10-03,27,2,Nigeria,,enrolled
196,Female,Online MBA,2023-05-14,28,5,Taiwan,,enrolled
197,Female,Executive MBA,2022-02-10,28,5,Taiwan,,withdrawn
198,Female,Part-time MBA,2023-01-26,41,19,Italy,,declined_offer
199,Male,Executive MBA,2023-04-30,46,20,Germany,,rejected
200,Male,Online MBA,2023-07-21,30,11,Russian Federation,,rejected
201,Male,Online MBA,2021-08-11,32,7,India,,deferred
202,Male,Online MBA,2021-01-01,42,20,India,,enrolled
203,Male,Executive MBA,2021-02-08,31,12,Germany,,enrolled
204,Female,Online MBA,2021-02-01,36,6,Italy,,declined_offer
205,Male,Online MBA,2021-09-09,29,5,Germany,,enrolled
206,Male,Online MBA,2021-09-01,25,3,Germany,,declined_offer
207,Male,Online MBA,2023-09-07,26,4,United States,,enrolled
208,Male,Online MBA,2022-09-11,33,6,India,,enrolled
209,Female,Executive MBA,2021-04-18,42,20,India,,declined_offer
210,Female,Part-time MBA,2020-12-17,40,15,Italy,,enrolled
211,Male,Part-time MBA,2021-09-07,37,15,Russian Federation,,enrolled
212,Male,Online MBA,2022-11-11,32,4,China,,enrolled
213,Male,Online MBA,2022-12-08,46,14,Greece,,declined_offer
214,Female,Executive MBA,2021-02-01,27,5,Portugal,,enrolled
215,Male,Online MBA,2020-11-23,44,15,Italy,,enrolled
216,Female,Online MBA,2020-11-13,38,16,Greece,,enrolled
217,Female,Online MBA,2020-10-20,38,19,India,,rejected
218,Male,Executive MBA,2021-04-21,36,6,Italy,,enrolled
219,Male,Part-time MBA,2020-12-27,35,7,Portugal,,enrolled
220,Male,Online MBA,2022-11-18,34,7,Russian Federation,,withdrawn
221,Male,Executive MBA,2021-08-18,40,18,Germany,,enrolled
222,Male,Part-time MBA,2020-11-14,31,5,Pakistan,,on_hold
223,Male,Part-time MBA,2024-01-02,32,6,United States,,enrolled
224,Male,Part-time MBA,2023-06-03,28,8,China,,enrolled
225,Male,Part-time MBA,2022-03-10,34,5,India,,enrolled
226,Male,Executive MBA,2021-10-08,21,0,United States,,enrolled
227,Female,Online MBA,2022-12-17,28,8,Lebanon,,enrolled
228,Male,Online MBA,2022-08-06,33,10,Germany,,enrolled
229,Female,Executive MBA,2023-01-21,40,10,France,,enrolled
230,Male,Online MBA,2021-07-07,37,17,Russian Federation,,declined_offer
231,Female,Part-time MBA,2021-09-07,30,7,Turkey,,declined_offer
232,Male,Executive MBA,2022-11-03,31,3,India,,enrolled
233,Male,Part-time MBA,2022-01-23,38,15,United States,Sweden,withdrawn
234,Male,Online MBA,2021-10-12,26,3,Germany,Croatia,enrolled
235,Male,Online MBA,2022-03-04,46,12,India,Morocco,enrolled
236,Male,Part-time MBA,2021-01-18,26,3,Norway,India,enrolled
237,Male,Part-time MBA,2021-02-18,24,2,Spain,Philippines,enrolled
238,Male,Online MBA,2022-10-03,42,19,Italy,Germany,withdrawn
239,Male,Executive MBA,2023-10-12,25,2,Pakistan,,enrolled
240,Male,Executive MBA,2023-04-12,34,12,Germany,,rejected
241,Female,Online MBA,2022-12-15,49,19,China,,enrolled
242,Male,Online MBA,2021-07-25,33,12,Russian Federation,,rejected
243,Female,Executive MBA,2021-09-29,37,9,China,,enrolled
244,Male,Online MBA,2023-07-27,27,3,Germany,,enrolled
245,Male,Executive MBA,2021-12-01,41,19,Germany,,enrolled
246,Male,Online MBA,2023-10-15,35,4,Serbia,,declined_offer
247,Male,Online MBA,2021-11-09,35,13,India,,deferred
248,Male,Online MBA,2020-11-10,36,15,China,,rejected
249,Male,Online MBA,2020-10-15,41,18,Germany,Belarus,enrolled
250,Male,Part-time MBA,2022-05-15,29,7,India,,enrolled
251,Male,Part-time MBA,2020-11-15,34,9,China,,enrolled
252,Male,Executive MBA,2022-05-07,44,20,Sweden,France,enrolled
253,Male,Part-time MBA,2023-10-02,35,7,Russian Federation,,declined_offer
254,Male,Executive MBA,2022-08-22,37,13,India,,declined_offer
255,Male,Online MBA,2022-11-29,28,3,Germany,,rejected
256,Female,Executive MBA,2021-04-28,41,13,France,,enrolled
257,Male,Online MBA,2021-09-15,33,10,Turkey,,rejected
258,Female,Online MBA,2022-11-17,36,15,Italy,,enrolled
259,Female,Online MBA,2022-10-04,41,12,Hungary,,enrolled
260,Male,Online MBA,2020-12-12,31,8,Netherlands,,enrolled
261,Male,Online MBA,2021-11-03,29,8,Germany,,enrolled
262,Male,Online MBA,2022-12-31,46,15,Korea,,declined_offer
263,Male,Executive MBA,2022-05-01,29,2,Russian Federation,,enrolled
264,Female,Online MBA,2022-02-09,25,2,China,,enrolled
265,Male,Executive MBA,2023-09-23,43,16,Russian Federation,,declined_offer
266,Male,Online MBA,2022-07-11,33,8,Germany,,enrolled
267,Female,Online MBA,2023-01-18,35,16,Switzerland,,deferred
268,Male,Online MBA,2021-12-28,33,12,Russian Federation,,enrolled
269,Male,Online MBA,2021-04-30,25,3,Russian Federation,,declined_offer
270,Male,Executive MBA,2023-02-21,41,16,United States,,enrolled
271,Male,Part-time MBA,2021-08-11,33,6,Brazil,,enrolled
272,Male,Executive MBA,2020-12-19,39,16,Russian Federation,,declined_offer
273,Male,Online MBA,2023-06-20,28,2,Norway,,enrolled
274,Female,Part-time MBA,2021-11-16,40,14,Philippines,,enrolled
275,Male,Online MBA,2022-02-24,36,10,Russian Federation,,enrolled
276,Female,Executive MBA,2023-05-04,36,5,Greece,,on_hold
277,Female,Executive MBA,2022-04-17,35,15,Turkey,,declined_offer
278,Male,Part-time MBA,2020-10-16,32,12,France,,rejected
279,Female,Online MBA,2022-02-12,44,13,China,,declined_offer
280,Male,Online MBA,2021-12-01,34,10,Sweden,,withdrawn
281,Female,Online MBA,2021-01-18,36,5,Russian Federation,,enrolled
282,Male,Executive MBA,2021-04-12,39,12,Viet Nam,Ghana,enrolled
283,Male,Executive MBA,2021-05-06,45,14,Georgia,Brazil,rejected
284,Male,Part-time MBA,2022-06-01,28,5,China,,enrolled
285,Male,Part-time MBA,2021-03-05,34,12,India,,enrolled
286,Male,Online MBA,2022-04-09,37,18,China,,enrolled
287,Female,Part-time MBA,2023-10-07,31,9,Spain,,deferred
288,Female,Online MBA,2021-01-20,40,19,Pakistan,,enrolled
289,Female,Executive MBA,2022-11-10,32,9,China,Japan,enrolled
290,Male,Online MBA,2023-06-06,27,4,France,,enrolled
291,Female,Online MBA,2023-01-17,26,4,China,,enrolled
292,Male,Online MBA,2022-06-05,34,10,United States,,withdrawn
293,Female,Online MBA,2023-03-14,35,5,Colombia,,on_hold
294,Female,Part-time MBA,2023-09-29,30,5,Russian Federation,,rejected
295,Male,Executive MBA,2021-04-15,41,10,Netherlands,,withdrawn
296,Male,Online MBA,2022-04-21,31,5,Germany,,enrolled
297,Male,Executive MBA,2021-07-04,31,11,Russian Federation,,deferred
298,Female,Online MBA,2023-02-02,30,10,Spain,Chile,rejected
299,Male,Online MBA,2020-10-14,40,13,Mexico,,enrolled
300,Male,Part-time MBA,2023-12-17,32,4,Germany,,enrolled
301,Male,Executive MBA,2024-02-10,20,0,United Kingdom,,withdrawn
302,Male,Online MBA,2021-09-13,44,12,Russian Federation,,enrolled
303,Male,Part-time MBA,2023-02-22,28,5,India,,deferred
304,Male,Online MBA,2021-04-21,43,12,Germany,,enrolled
305,Female,Online MBA,2024-02-01,27,6,China,,enrolled
306,Female,Executive MBA,2021-12-06,44,20,China,,enrolled
307,Male,Executive MBA,2022-08-01,24,4,Japan,United States,enrolled
308,Male,Executive MBA,2023-08-18,31,4,Italy,,enrolled
309,Female,Online MBA,2021-11-14,36,8,Greece,,rejected
310,Male,Online MBA,2024-01-08,40,13,Russian Federation,Sweden,enrolled
311,Male,Part-time MBA,2021-09-08,32,10,Russian Federation,,deferred
312,Female,Online MBA,2022-08-10,44,13,China,,rejected
313,Male,Online MBA,2021-05-29,43,12,Spain,,withdrawn
314,Male,Online MBA,2021-08-24,32,4,Germany,,withdrawn
315,Female,Online MBA,2023-01-20,33,14,Germany,,enrolled
316,Male,Part-time MBA,2022-04-06,46,16,India,Ghana,declined_offer
317,Male,Executive MBA,2024-02-20,36,14,China,,enrolled
318,Female,Online MBA,2022-01-20,29,7,China,,enrolled
319,Male,Online MBA,2021-07-08,42,12,Russian Federation,,enrolled
320,Male,Part-time MBA,2023-06-03,25,2,Turkey,San Marino,declined_offer
321,Female,Part-time MBA,2020-12-08,33,10,China,,enrolled
322,Male,Online MBA,2022-11-02,32,2,Ghana,,enrolled
323,Female,Online MBA,2021-07-18,41,18,Italy,,enrolled
324,Male,Online MBA,2021-05-30,42,19,Russian Federation,,enrolled
325,Male,Executive MBA,2022-05-03,26,3,Korea,,enrolled
326,Male,Part-time MBA,2024-02-28,35,15,Ghana,,enrolled
327,Male,Executive MBA,2024-03-19,48,16,Germany,,withdrawn
328,Male,Online MBA,2022-07-13,32,3,Pakistan,,declined_offer
329,Male,Part-time MBA,2020-11-01,33,10,Germany,,enrolled
330,Male,Online MBA,2021-06-07,34,5,Switzerland,,rejected
331,Male,Part-time MBA,2022-03-10,34,15,Russian Federation,,enrolled
332,Male,Part-time MBA,2022-12-27,34,5,India,,enrolled
333,Male,Online MBA,2021-05-30,34,13,Pakistan,,enrolled
334,Male,Executive MBA,2022-11-24,29,5,Russian Federation,,enrolled
335,Female,Online MBA,2022-03-01,44,18,China,,withdrawn
336,Male,Online MBA,2023-05-11,41,12,China,,enrolled
337,Female,Online MBA,2021-08-20,35,5,Italy,,enrolled
338,Male,Online MBA,2022-03-16,37,11,Germany,,enrolled
339,Male,Online MBA,2021-02-26,32,10,Germany,,enrolled
340,Male,Online MBA,2020-12-27,40,12,Russian Federation,,enrolled
341,Male,Executive MBA,2021-04-19,43,14,Germany,Mexico,deferred
342,Female,Part-time MBA,2021-03-15,33,9,China,,deferred
343,Male,Part-time MBA,2022-10-13,40,16,China,,enrolled
344,Male,Online MBA,2021-05-23,44,17,India,,enrolled
345,Female,Executive MBA,2022-03-12,45,16,China,,enrolled
346,Male,Online MBA,2023-10-04,30,6,India,,withdrawn
347,Male,Online MBA,2022-08-30,31,3,Portugal,,enrolled
348,Male,Online MBA,2023-11-27,37,9,Russian Federation,Serbia,deferred
349,Male,Online MBA,2022-09-09,35,15,India,,enrolled
350,Female,Online MBA,2020-12-05,38,18,Sweden,,withdrawn
351,Male,Online MBA,2023-03-14,33,10,China,,rejected
352,Female,Executive MBA,2023-07-27,38,14,Germany,,deferred
353,Male,Online MBA,2022-04-29,29,4,Russian Federation,Hungary,withdrawn
354,Female,Online MBA,2021-10-12,32,4,United States,,enrolled
355,Female,Online MBA,2023-11-13,39,10,Ukraine,,rejected
356,Male,Online MBA,2022-04-26,36,10,United States,,declined_offer
357,Male,Executive MBA,2022-12-10,45,14,Pakistan,,enrolled
358,Male,Executive MBA,2023-11-21,46,16,Ireland,,enrolled
359,Male,Online MBA,2021-10-22,28,6,India,,enrolled
360,Male,Part-time MBA,2022-12-16,29,4,India,,enrolled
361,Male,Part-time MBA,2024-01-09,30,2,Russian Federation,,rejected
362,Male,Part-time MBA,2022-06-17,34,10,Russian Federation,,enrolled
363,Male,Online MBA,2023-07-21,34,6,Russian Federation,,enrolled
364,Female,Online MBA,2021-09-20,36,11,India,,declined_offer
365,Female,Online MBA,2021-05-14,44,19,Turkey,Kenya,enrolled
366,Male,Online MBA,2021-05-18,24,2,India,,enrolled
367,Male,Online MBA,2022-10-29,36,10,Germany,,enrolled
368,Male,Executive MBA,2022-02-18,39,17,Pakistan,United Kingdom,enrolled
369,Female,Executive MBA,2021-05-05,43,13,India,,rejected
370,Male,Executive MBA,2023-05-21,40,12,Germany,,enrolled
371,Male,Online MBA,2020-12-05,36,13,United States,,enrolled
372,Male,Online MBA,2022-09-17,28,6,Norway,Kenya,enrolled
373,Male,Executive MBA,2023-04-04,40,16,Hong Kong,,enrolled
374,Female,Online MBA,2023-01-29,46,17,Italy,,rejected
375,Male,Executive MBA,2023-07-26,26,3,Germany,,declined_offer
376,Male,Executive MBA,2022-07-12,38,16,Japan,,enrolled
377,Male,Online MBA,2021-12-11,30,10,Germany,,enrolled
378,Male,Online MBA,2021-08-09,31,7,Spain,,enrolled
379,Female,Executive MBA,2022-04-10,39,10,India,,enrolled
380,Male,Executive MBA,2024-02-12,31,9,Russian Federation,,withdrawn
381,Female,Online MBA,2021-08-10,26,3,India,,withdrawn
382,Male,Online MBA,2021-07-05,42,10,Russian Federation,,enrolled
383,Female,Executive MBA,2023-05-18,32,13,Ukraine,Estonia,enrolled
384,Female,Online MBA,2022-10-30,30,8,China,,enrolled
385,Female,Online MBA,2020-10-07,33,11,Italy,,enrolled
386,Male,Online MBA,2023-05-11,36,16,Norway,,enrolled
387,Male,Part-time MBA,2022-01-20,36,9,Turkey,,declined_offer
388,Male,Online MBA,2024-02-29,36,10,Germany,,rejected
389,Female,Online MBA,2022-07-01,34,12,China,,rejected
390,Male,Part-time MBA,2021-02-25,26,1,Sweden,,enrolled
391,Male,Part-time MBA,2022-04-02,31,6,Germany,,enrolled
392,Male,Part-time MBA,2021-11-18,34,9,Portugal,,withdrawn
393,Male,Online MBA,2022-10-26,37,7,India,,enrolled
394,Male,Part-time MBA,2021-05-27,26,5,Croatia,,withdrawn
395,Male,Executive MBA,2020-12-27,48,14,India,Taiwan,enrolled
396,Male,Online MBA,2022-01-06,29,6,Germany,,enrolled
397,Male,Online MBA,2022-10-30,43,17,Mexico,,rejected
398,Male,Online MBA,2022-11-21,34,11,Germany,,deferred
399,Female,Online MBA,2021-08-10,27,6,China,Bulgaria,enrolled
400,Male,Online MBA,2022-02-01,40,14,Nigeria,Iran,enrolled
401,Male,Online MBA,2023-04-30,33,11,France,,enrolled
402,Male,Online MBA,2022-12-01,29,6,Morocco,,declined_offer
403,Male,Online MBA,2023-08-08,38,7,India,,enrolled
404,Male,Part-time MBA,2021-05-13,32,6,Norway,,enrolled
405,Male,Part-time MBA,2021-02-21,34,5,Russian Federation,,declined_offer
406,Male,Online MBA,2021-02-24,38,11,Switzerland,Jordan,enrolled
407,Male,Online MBA,2024-01-01,30,5,Switzerland,,enrolled
408,Female,Online MBA,2022-11-09,32,7,Peru,,withdrawn
409,Female,Part-time MBA,2023-07-15,32,9,India,,enrolled
410,Male,Online MBA,2023-05-01,41,18,Russian Federation,,rejected
411,Male,Executive MBA,2021-08-05,42,13,India,,enrolled
412,Male,Online MBA,2021-10-23,31,4,Spain,,enrolled
413,Female,Online MBA,2022-11-28,34,14,China,,enrolled
414,Male,Online MBA,2021-03-05,25,4,Germany,,rejected
415,Male,Online MBA,2022-03-13,35,16,Australia,,enrolled
416,Female,Executive MBA,2021-07-01,31,4,India,,enrolled
417,Female,Online MBA,2023-02-28,28,8,Iran,,enrolled
