,gender,program,submitted_on,age_on_program_start,months_work_experience,nationality,other_nationality,applicant_state
114,Male,Master in Management,2021-08-17,26,36,Nigeria,,enrolled
115,Female,Master in Marketing,2021-11-08,22,0,Germany,,enrolled
116,Male,Master in Management,2023-08-06,24,10,India,,rejected
117,Male,Master in Finance,2022-03-02,22,0,Germany,,enrolled
118,Male,Master in Management,2022-03-10,23,0,India,,on_hold
119,Male,Master in Marketing,2024-01-11,23,0,India,,on_hold
120,Female,Master in Finance,2020-09-13,24,0,Germany,,enrolled
121,Male,Master in Management,2021-07-27,23,0,Spain,,enrolled
122,Male,Master in Finance,2023-07-02,23,0,India,,withdrawn
123,Male,Master in Finance,2022-02-10,23,0,India,,rejected
124,Male,Master in Management,2021-09-06,21,0,India,,enrolled
125,Male,Master in Finance,2021-12-17,21,0,India,,withdrawn
126,Male,Master in Finance,2021-07-22,23,12,India,,enrolled
127,Male,Master in Finance,2024-01-29,22,7,India,,on_hold
128,Female,Master in Finance,2024-01-04,21,0,Italy,,enrolled
129,Female,Master in Finance,2022-11-18,22,16,India,,rejected
130,Female,Master in Marketing,2021-04-17,22,0,China,,enrolled
131,Female,Master in Finance,2022-05-12,23,0,Germany,,enrolled
132,Female,Master in Management,2022-01-05,23,6,India,,enrolled
133,Female,Master in Finance,2021-11-17,22,14,Portugal,,enrolled
134,Male,Master in Management,2023-10-26,23,10,Italy,,rejected
135,Male,Master in Marketing,2020-12-20,20,0,Russian Federation,,declined_offer
136,Male,Master in Finance,2022-01-15,22,0,Germany,,enrolled
137,Female,Master in Finance,2021-03-09,24,0,India,,rejected
138,Female,Master in Finance,2023-11-26,21,0,Russian Federation,,rejected
139,Female,Master in Management,2022-04-20,22,0,China,,enrolled
140,Male,Master in Management,2021-06-01,26,36,India,,declined_offer
141,Male,Master in Finance,2021-06-11,25,17,India,,rejected
142,Female,Master in Marketing,2021-04-01,22,15,Italy,,rejected
143,Female,Master in Finance,2023-04-07,22,0,Germany,,on_hold
144,Male,Master in Finance,2021-08-15,34,0,Serbia,,enrolled
145,Male,Master in Management,2021-07-14,23,0,India,,rejected
146,Male,Master in Marketing,2024-02-26,22,20,China,,enrolled
147,Female,Master in Management,2021-07-08,22,0,Germany,,enrolled
148,Male,Master in Management,2023-07-03,22,0,United States,,declined_offer
149,Female,Master in Finance,2023-04-01,22,0,France,,enrolled
150,Female,Master in Finance,2020-09-16,29,0,India,,rejected
151,Male,Master in Management,2021-10-03,22,0,France,,enrolled
152,Male,Master in Management,2022-01-29,26,11,Italy,,rejected
153,Male,Master in Management,2020-11-11,23,0,India,,rejected
154,Male,Master in Marketing,2023-10-17,23,13,Russian Federation,,enrolled
155,Male,Master in Marketing,2024-01-19,23,0,India,,enrolled
156,Female,Master in Marketing,2021-04-11,21,2,Italy,,declined_offer
157,Male,Master in Marketing,2021-07-19,23,0,India,,rejected
158,Male,Master in Finance,2023-01-19,21,0,India,,declined_offer
159,Male,Master in Marketing,2021-10-08,22,4,Russian Federation,,enrolled
160,Male,Master in Management,2021-12-22,25,18,India,,rejected
161,Male,Master in Management,2023-05-14,25,36,India,,rejected
162,Female,Master in Finance,2020-11-10,22,0,China,,rejected
163,Male,Master in Finance,2021-11-09,23,15,India,,withdrawn
164,Female,Master in Management,2021-07-21,24,0,China,,on_hold
165,Male,Master in Management,2023-10-18,24,10,Russian Federation,,enrolled
166,Male,Master in Management,2021-12-13,23,0,India,Viet Nam,enrolled
167,Female,Master in Management,2022-03-14,22,9,China,,enrolled
168,Female,Master in Management,2023-08-16,24,9,India,,enrolled
169,Male,Master in Finance,2022-10-31,24,0,Iran,,rejected
170,Male,Master in Marketing,2021-09-20,24,0,Spain,,declined_offer
171,Female,Master in Marketing,2023-02-17,24,0,China,,on_hold
172,Male,Master in Management,2023-04-02,21,0,India,,withdrawn
173,Female,Master in Finance,2023-03-06,24,8,India,,withdrawn
174,Female,Master in Management,2022-11-12,22,22,China,,enrolled
175,Female,Master in Marketing,2023-10-31,22,0,France,,declined_offer
176,Male,Master in Marketing,2022-07-27,21,0,Russian Federation,,rejected
177,Female,Master in Management,2024-03-17,24,0,Spain,,enrolled
178,Male,Master in Marketing,2021-04-19,22,0,India,,rejected
179,Female,Master in Marketing,2022-10-29,23,6,India,,declined_offer
180,Female,Master in Finance,2020-09-21,23,9,Taiwan,,rejected
181,Female,Master in Management,2023-07-20,21,0,Taiwan,,enrolled
182,Male,Master in Marketing,2021-07-28,23,0,Pakistan,,enrolled
183,Female,Master in Management,2022-08-30,22,0,Pakistan,,enrolled
184,Female,Master in Management,2022-11-18,22,4,Italy,,enrolled
185,Female,Master in Finance,2022-03-19,21,10,China,,enrolled
186,Female,Master in Marketing,2023-12-12,20,0,China,,withdrawn
187,Male,Master in Finance,2020-11-26,21,1,India,,rejected
188,Male,Master in Management,2021-03-29,23,0,Spain,,on_hold
189,Male,Master in Marketing,2022-06-18,24,15,Russian Federation,,declined_offer
190,Male,Master in Management,2021-03-23,22,0,India,,withdrawn
191,Male,Master in Management,2021-12-04,22,0,United States,,enrolled
192,Female,Master in Management,2022-07-02,23,6,India,,enrolled
193,Male,Master in Finance,2021-12-24,22,0,India,,rejected
194,Female,Master in Finance,2021-04-24,22,0,China,,withdrawn
195,Female,Master in Management,2022-09-17,22,0,China,,rejected
196,Male,Master in Marketing,2021-09-18,25,24,India,,withdrawn
197,Female,Master in Management,2022-01-07,25,9,Germany,,enrolled
198,Male,Master in Marketing,2021-12-21,22,23,Germany,,enrolled
199,Male,Master in Marketing,2021-08-20,22,5,India,,withdrawn
200,Male,Master in Marketing,2023-07-01,24,21,Germany,,enrolled
201,Male,Master in Finance,2023-11-07,22,0,India,,rejected
202,Female,Master in Finance,2022-08-03,23,0,China,,withdrawn
203,Male,Master in Finance,2023-03-30,24,19,India,,rejected
204,Male,Master in Finance,2021-07-14,25,15,Norway,,enrolled
205,Male,Master in Finance,2021-05-07,23,6,India,,rejected
206,Male,Master in Finance,2023-07-06,22,6,India,,withdrawn
207,Male,Master in Management,2023-06-20,24,5,Taiwan,,rejected
208,Male,Master in Marketing,2020-11-03,23,0,Turkey,,declined_offer
209,Male,Master in Marketing,2023-07-27,25,0,Russian Federation,,rejected
210,Male,Master in Management,2021-07-26,23,21,Russian Federation,,enrolled
211,Male,Master in Marketing,2022-08-30,23,3,India,,rejected
212,Female,Master in Marketing,2024-02-10,31,10,Russian Federation,,declined_offer
213,Female,Master in Finance,2023-05-16,21,0,United States,,enrolled
214,Female,Master in Marketing,2023-12-21,25,7,India,Australia,rejected
215,Female,Master in Marketing,2021-06-20,23,10,Iran,,declined_offer
216,Male,Master in Finance,2020-09-26,23,0,Pakistan,,rejected
217,Female,Master in Finance,2020-11-27,24,0,Mexico,,on_hold
218,Female,Master in Management,2023-01-06,20,0,China,,rejected
219,Female,Master in Finance,2021-02-07,26,0,India,,declined_offer
220,Male,Master in Finance,2023-12-20,22,0,Russian Federation,,on_hold
221,Male,Master in Finance,2022-06-12,25,1,India,,on_hold
222,Male,Master in Finance,2023-02-16,36,11,Russian Federation,,rejected
223,Male,Master in Marketing,2023-06-24,25,10,Portugal,,deferred
224,Male,Master in Marketing,2022-01-29,24,0,Egypt,,declined_offer
225,Male,Master in Finance,2022-09-20,23,0,Germany,Colombia,on_hold
226,Female,Master in Management,2022-01-15,21,9,Taiwan,,enrolled
227,Female,Master in Marketing,2023-06-16,22,12,Ukraine,,enrolled
228,Male,Master in Management,2022-07-18,21,0,Germany,,enrolled
229,Female,Master in Finance,2024-01-25,22,0,Italy,,rejected
230,Male,Master in Marketing,2021-03-14,24,10,Germany,Mexico,enrolled
231,Male,Master in Management,2023-05-28,23,8,India,,declined_offer
232,Female,Master in Management,2023-09-27,23,0,India,,declined_offer
233,Female,Master in Finance,2022-05-08,24,5,Egypt,Viet Nam,on_hold
234,Female,Master in Management,2021-08-14,31,0,India,,rejected
235,Female,Master in Management,2021-05-17,20,0,Germany,,rejected
236,Female,Master in Finance,2020-11-02,25,24,India,,on_hold
237,Female,Master in Finance,2022-03-29,32,15,Japan,,rejected
238,Male,Master in Finance,2021-01-22,23,0,India,,rejected
239,Male,Master in Marketing,2021-10-01,22,0,Turkey,,rejected
240,Female,Master in Marketing,2021-12-03,23,9,India,,on_hold
241,Male,Master in Management,2021-01-31,23,8,India,,enrolled
242,Female,Master in Marketing,2021-06-07,21,0,Taiwan,,withdrawn
243,Male,Master in Finance,2024-02-02,23,12,France,,rejected
244,Male,Master in Finance,2023-06-18,21,0,Mexico,,enrolled
245,Female,Master in Management,2022-05-16,21,0,Turkey,,declined_offer
246,Female,Master in Management,2024-02-22,22,0,China,,on_hold
247,Male,Master in Finance,2023-04-06,25,11,Russian Federation,,rejected
248,Female,Master in Management,2023-09-09,20,0,Viet Nam,,declined_offer
249,Male,Master in Finance,2022-09-10,21,0,Germany,,declined_offer
250,Male,Master in Finance,2021-10-27,22,0,Italy,,rejected
251,Male,Master in Marketing,2021-06-18,24,8,France,,enrolled
252,Male,Master in Marketing,2022-04-19,22,12,India,,on_hold
253,Female,Master in Management,2022-06-28,22,15,Turkey,,enrolled
254,Female,Master in Finance,2023-03-18,21,10,France,,rejected
255,Female,Master in Marketing,2022-02-23,21,0,Spain,,enrolled
256,Female,Master in Marketing,2022-10-31,23,12,China,,enrolled
257,Male,Master in Management,2020-12-19,22,0,United States,,rejected
258,Male,Master in Finance,2024-01-27,25,0,India,,rejected
259,Female,Master in Marketing,2020-11-14,22,8,China,,rejected
260,Female,Master in Marketing,2022-12-17,21,1,Germany,,enrolled
261,Male,Master in Marketing,2021-09-02,21,6,Spain,,enrolled
262,Female,Master in Finance,2024-01-16,24,5,India,,rejected
263,Male,Master in Marketing,2023-10-04,23,7,China,,rejected
264,Female,Master in Finance,2023-10-24,22,0,Italy,,declined_offer
265,Female,Master in Management,2021-05-06,23,4,China,,declined_offer
266,Male,Master in Management,2023-05-19,32,36,India,,rejected
267,Male,Master in Management,2020-10-10,20,0,Colombia,,declined_offer
268,Female,Master in Management,2022-08-24,23,8,China,,withdrawn
269,Male,Master in Finance,2021-06-21,24,0,Greece,,enrolled
270,Male,Master in Management,2023-06-22,21,0,Germany,,rejected
271,Female,Master in Marketing,2021-08-02,21,0,China,,rejected
272,Female,Master in Management,2022-09-24,22,7,Italy,,on_hold
273,Female,Master in Marketing,2022-09-13,23,0,China,,declined_offer
274,Female,Master in Finance,2020-11-04,24,0,Russian Federation,,enrolled
275,Female,Master in Management,2021-11-04,22,0,Hong Kong,,enrolled
276,Female,Master in Management,2023-04-08,20,0,Netherlands,,enrolled
277,Male,Master in Management,2022-09-28,23,5,Russian Federation,,enrolled
278,Female,Master in Finance,2021-01-22,24,15,Tunisia,,rejected
279,Female,Master in Management,2021-04-13,22,0,China,,rejected
280,Male,Master in Finance,2022-10-16,23,11,China,,rejected
281,Male,Master in Marketing,2022-09-26,21,9,India,Croatia,rejected
282,Female,Master in Finance,2021-09-16,23,12,India,,withdrawn
283,Male,Master in Marketing,2024-02-19,22,12,Iran,,rejected
284,Male,Master in Management,2022-03-19,33,9,Russian Federation,,enrolled
285,Female,Master in Finance,2022-10-05,22,0,India,,withdrawn
286,Female,Master in Finance,2022-03-05,24,12,China,,enrolled
287,Male,Master in Management,2020-10-06,24,9,Chile,,enrolled
288,Female,Master in Marketing,2022-01-23,22,6,India,,on_hold
289,Male,Master in Management,2022-08-28,23,0,Russian Federation,,enrolled
290,Male,Master in Marketing,2021-09-09,22,0,Nigeria,,enrolled
291,Male,Master in Finance,2021-11-23,22,0,Germany,,rejected
292,Male,Master in Finance,2023-05-27,23,8,Greece,,enrolled
293,Female,Master in Management,2024-01-19,22,0,Italy,,enrolled
294,Female,Master in Management,2021-03-09,23,5,India,,withdrawn
295,Female,Master in Finance,2020-10-24,22,0,China,,declined_offer
296,Female,Master in Marketing,2021-07-09,25,10,Colombia,,enrolled
297,Female,Master in Management,2021-10-01,21,0,Russian Federation,Spain,enrolled
298,Male,Master in Marketing,2022-05-27,24,0,Viet Nam,,enrolled
299,Female,Master in Management,2023-02-21,21,0,India,,enrolled
300,Male,Master in Finance,2023-10-13,22,5,Germany,,enrolled
301,Male,Master in Finance,2021-12-25,28,7,India,,withdrawn
302,Male,Master in Finance,2021-12-09,22,0,Germany,,declined_offer
303,Female,Master in Finance,2021-11-29,22,0,Korea,,on_hold
304,Male,Master in Finance,2020-09-04,21,0,India,,on_hold
305,Female,Master in Finance,2021-03-07,22,11,India,,withdrawn
306,Male,Master in Finance,2024-03-04,21,11,Germany,,declined_offer
307,Female,Master in Management,2023-10-13,24,0,China,,enrolled
308,Male,Master in Finance,2023-06-09,29,13,India,,rejected
309,Male,Master in Marketing,2022-02-21,26,17,Venezuela,,rejected
310,Female,Master in Marketing,2023-05-04,24,10,India,,declined_offer
311,Female,Master in Management,2023-04-14,23,2,China,,rejected
312,Female,Master in Marketing,2021-06-24,25,10,Hong Kong,,enrolled
313,Female,Master in Marketing,2021-02-18,23,4,Germany,,declined_offer
314,Female,Master in Finance,2022-02-11,21,0,Turkey,,enrolled
315,Female,Master in Management,2023-06-14,22,20,India,,rejected
316,Male,Master in Finance,2022-04-11,23,17,United Kingdom,Chile,rejected
317,Female,Master in Finance,2023-07-31,22,6,France,San Marino,enrolled
318,Male,Master in Finance,2023-07-16,22,0,Spain,,rejected
319,Male,Master in Management,2023-11-14,22,0,India,,declined_offer
320,Male,Master in Marketing,2023-08-13,24,0,India,,withdrawn
321,Male,Master in Marketing,2022-05-07,28,36,India,,withdrawn
322,Male,Master in Finance,2024-02-05,24,6,Turkey,,enrolled
323,Male,Master in Marketing,2020-12-04,25,36,India,,enrolled
324,Male,Master in Finance,2021-01-16,23,5,Italy,,rejected
325,Male,Master in Finance,2023-09-17,24,8,India,,withdrawn
326,Male,Master in Marketing,2021-07-07,21,0,India,,on_hold
327,Male,Master in Finance,2023-10-04,25,4,Germany,,enrolled
328,Female,Master in Finance,2023-10-15,25,0,India,,rejected
329,Female,Master in Finance,2020-09-10,22,0,India,,declined_offer
330,Male,Master in Management,2023-04-16,23,4,India,,rejected
331,Female,Master in Marketing,2023-10-14,23,0,China,Russian Federation,rejected
332,Male,Master in Finance,2023-09-27,23,20,India,,rejected
333,Male,Master in Finance,2022-08-19,25,13,India,Czech Republic,rejected
334,Female,Master in Marketing,2020-09-18,25,24,China,,enrolled
335,Male,Master in Management,2023-11-23,23,6,France,,rejected
336,Male,Master in Management,2021-04-18,22,23,India,,on_hold
337,Male,Master in Finance,2022-02-14,22,17,India,,enrolled
338,Male,Master in Marketing,2023-12-02,25,36,France,,enrolled
339,Female,Master in Finance,2022-01-09,25,24,Germany,,rejected
340,Female,Master in Finance,2020-12-11,23,9,Italy,,enrolled
341,Male,Master in Finance,2022-10-04,23,4,China,Ghana,enrolled
342,Female,Master in Marketing,2021-05-07,24,0,Jordan,,on_hold
343,Male,Master in Management,2022-06-16,22,0,Germany,,enrolled
344,Female,Master in Marketing,2023-08-17,24,10,France,,declined_offer
345,Female,Master in Finance,2023-03-09,25,14,India,,on_hold
346,Male,Master in Marketing,2021-09-10,24,36,Germany,,on_hold
347,Male,Master in Management,2020-10-19,22,17,India,,enrolled
348,Female,Master in Management,2022-09-17,23,3,Taiwan,,rejected
349,Female,Master in Management,2020-09-17,24,10,India,,withdrawn
350,Female,Master in Management,2024-02-24,21,0,China,,deferred
351,Male,Master in Management,2021-03-20,22,0,India,,withdrawn
352,Female,Master in Management,2023-11-26,22,0,Philippines,,enrolled
353,Male,Master in Management,2020-09-28,24,14,India,,rejected
354,Female,Master in Finance,2022-04-06,22,0,China,,enrolled
355,Female,Master in Finance,2020-10-19,25,8,Taiwan,,enrolled
356,Male,Master in Finance,2023-08-04,21,14,India,,rejected
357,Female,Master in Finance,2021-01-31,25,11,India,,withdrawn
358,Female,Master in Marketing,2024-02-21,22,0,China,,rejected
359,Male,Master in Finance,2023-03-30,24,15,India,,rejected
360,Male,Master in Management,2020-12-28,21,3,Ukraine,,enrolled
361,Female,Master in Finance,2021-08-16,23,0,China,,enrolled
362,Male,Master in Management,2023-04-21,23,0,India,,enrolled
363,Female,Master in Finance,2021-07-21,27,10,China,,declined_offer
364,Male,Master in Management,2023-01-30,23,9,India,,enrolled
365,Female,Master in Management,2023-02-17,20,0,Germany,,enrolled
366,Female,Master in Marketing,2021-06-07,32,13,Germany,,declined_offer
367,Female,Master in Marketing,2023-03-22,24,9,Germany,,declined_offer
368,Male,Master in Management,2023-11-30,22,0,Norway,,enrolled
369,Male,Master in Finance,2022-09-02,22,0,Greece,Egypt,enrolled
370,Male,Master in Finance,2022-07-01,22,0,India,,enrolled
371,Male,Master in Management,2023-12-14,22,0,Portugal,,declined_offer
372,Female,Master in Marketing,2023-10-21,32,15,Serbia,,declined_offer
373,Female,Master in Finance,2022-02-23,24,12,India,,on_hold
374,Male,Master in Marketing,2023-06-10,28,9,India,,rejected
375,Male,Master in Finance,2022-10-16,22,4,India,,enrolled
376,Female,Master in Marketing,2023-01-11,26,36,Portugal,,enrolled
377,Male,Master in Finance,2021-12-19,20,0,Russian Federation,,enrolled
378,Female,Master in Finance,2022-12-11,21,19,India,,rejected
379,Female,Master in Finance,2023-11-24,22,6,China,,enrolled
380,Male,Master in Marketing,2022-09-04,28,0,India,,on_hold
381,Female,Master in Management,2022-06-10,22,0,India,,rejected
382,Male,Master in Marketing,2022-07-27,22,24,India,,rejected
383,Female,Master in Management,2022-01-11,22,0,Korea,,enrolled
384,Female,Master in Management,2022-10-23,25,24,France,,rejected
385,Female,Master in Management,2023-07-30,22,0,Turkey,,rejected
386,Male,Master in Management,2022-03-14,23,3,China,,withdrawn
387,Male,Master in Finance,2023-01-14,23,6,Russian Federation,,rejected
388,Female,Master in Marketing,2021-09-25,31,7,China,,withdrawn
389,Female,Master in Marketing,2022-12-05,25,13,United States,Spain,declined_offer
390,Female,Master in Management,2020-10-03,22,0,Germany,Finland,deferred
391,Female,Master in Marketing,2023-05-15,25,22,India,Ireland,rejected
392,Female,Master in Marketing,2022-01-04,22,0,Netherlands,,enrolled
393,Female,Master in Management,2023-08-27,24,9,Kenya,,enrolled
394,Male,Master in Management,2023-09-03,25,24,Ukraine,,enrolled
395,Male,Master in Management,2021-06-11,23,0,India,Canada,deferred
396,Male,Master in Management,2021-01-03,28,12,Russian Federation,,on_hold
397,Female,Master in Marketing,2021-02-16,21,0,India,,withdrawn
398,Female,Master in Marketing,2022-09-09,24,5,China,,withdrawn
399,Female,Master in Marketing,2023-12-23,25,6,India,,on_hold
400,Female,Master in Management,2022-09-15,20,0,Germany,,declined_offer
401,Female,Master in Management,2023-02-08,22,4,China,,rejected
402,Male,Master in Management,2023-02-19,23,0,Germany,,rejected
403,Male,Master in Finance,2022-05-24,22,15,Jordan,Greece,rejected
404,Female,Master in Marketing,2020-11-15,24,12,France,Lebanon,declined_offer
405,Female,Master in Management,2022-04-22,24,7,India,,declined_offer
406,Female,Master in Management,2022-12-21,22,6,Taiwan,,enrolled
407,Female,Master in Management,2023-11-15,25,36,China,,on_hold
408,Male,Master in Finance,2022-03-16,30,15,India,,declined_offer
409,Female,Master in Finance,2022-08-23,34,0,United States,,rejected
410,Female,Master in Finance,2022-08-28,22,0,China,,rejected
411,Male,Master in Finance,2021-11-30,26,6,Greece,,enrolled
412,Female,Master in Marketing,2021-01-19,22,10,Philippines,,declined_offer
413,Male,Master in Finance,2023-07-27,26,10,Spain,,enrolled
414,Male,Master in Finance,2024-03-09,26,17,United States,,enrolled
415,Male,Master in Management,2023-10-02,25,14,Finland,Jordan,declined_offer
416,Male,Master in Marketing,2022-05-17,22,0,Germany,,enrolled
417,Female,Master in Finance,2024-01-16,23,0,China,Hong Kong,declined_offer
418,Male,Master in Management,2023-07-02,24,36,United States,,rejected
419,Male,Master in Marketing,2021-05-12,22,0,Russian Federation,,enrolled
420,Male,Master in Marketing,2021-12-06,24,24,India,,enrolled
421,Female,Master in Marketing,2022-01-04,24,5,Italy,,declined_offer
422,Female,Master in Finance,2021-04-04,23,0,Mexico,,enrolled
423,Female,Master in Marketing,2022-05-21,22,1,Italy,,enrolled
424,Male,Master in Management,2023-12-18,23,21,India,,withdrawn
425,Male,Master in Management,2021-12-24,24,14,India,,on_hold
426,Male,Master in Finance,2022-08-24,25,0,India,,rejected
